Date,Price,Open,High,Low,Change
12/13/2015,67.148,66.761,67.148,66.743,0.0059
12/14/2015,67.093,67.1,67.18,66.965,-0.0008
12/15/2015,66.863,67.092,67.135,66.77,-0.0034
12/16/2015,66.476,66.866,66.947,66.431,-0.0058
12/17/2015,66.421,66.454,66.685,66.26,-0.0008
12/18/2015,66.255,66.411,66.535,66.228,-0.0025
12/19/2015,66.255,66.411,66.535,66.228,-0.0025
12/20/2015,66.255,66.411,66.535,66.228,-0.0025
12/21/2015,66.251,66.319,66.385,66.189,-0.0001
12/22/2015,66.244,66.268,66.36,66.176,-0.0001
12/23/2015,66.037,66.242,66.285,66.011,-0.0031
12/24/2015,65.947,66.058,66.162,65.946,-0.0014
12/25/2015,66.025,65.946,66.03,65.946,0.0012
12/26/2015,66.025,65.946,66.03,65.946,0.0012
12/27/2015,66.025,65.946,66.03,65.946,0.0012
12/28/2015,66.137,66.03,66.22,66.03,0.0017
12/29/2015,66.235,66.153,66.43,66.136,0.0015
12/30/2015,66.475,66.257,66.495,66.234,0.0036
12/31/2015,66.208,66.484,66.484,66.09,-0.004
1/1/2016,66.235,66.209,66.267,66.13,0.0004
1/2/2016,66.235,66.209,66.267,66.13,0.0004
1/3/2016,66.235,66.209,66.267,66.13,0.0004
1/4/2016,66.579,66.165,66.66,66.165,0.0052
1/5/2016,66.481,66.599,66.663,66.428,-0.0015
1/6/2016,66.698,66.499,66.905,66.479,0.0033
1/7/2016,66.891,66.712,66.981,66.507,0.0029
1/8/2016,66.847,66.891,66.93,66.6,-0.0007
1/9/2016,66.847,66.891,66.93,66.6,-0.0007
1/10/2016,66.847,66.891,66.93,66.6,-0.0007
1/11/2016,66.76,66.874,66.965,66.708,-0.0013
1/12/2016,66.946,66.766,66.98,66.74,0.0028
1/13/2016,66.917,66.947,66.953,66.73,-0.0004
1/14/2016,67.316,66.918,67.49,66.917,0.006
1/15/2016,67.775,67.328,67.869,67.255,0.0068
1/16/2016,67.775,67.328,67.869,67.255,0.0068
1/17/2016,67.775,67.328,67.869,67.255,0.0068
1/18/2016,67.661,67.791,67.791,67.5,-0.0017
1/19/2016,67.734,67.662,67.8,67.525,0.0011
1/20/2016,67.958,67.734,68.18,67.731,0.0033
1/21/2016,67.799,67.955,68.12,67.797,-0.0023
1/22/2016,67.549,67.826,67.869,67.547,-0.0037
1/23/2016,67.549,67.826,67.869,67.547,-0.0037
1/24/2016,67.549,67.826,67.869,67.547,-0.0037
1/25/2016,67.755,67.579,67.85,67.493,0.003
1/26/2016,67.739,67.727,67.909,67.697,-0.0002
1/27/2016,68.144,67.766,68.185,67.739,0.006
1/28/2016,68.053,68.15,68.265,68.017,-0.0013
1/29/2016,67.878,68.053,68.18,67.785,-0.0026
1/30/2016,67.878,68.053,68.18,67.785,-0.0026
1/31/2016,67.878,68.053,68.18,67.785,-0.0026
2/1/2016,67.835,67.878,67.97,67.64,-0.0006
2/2/2016,67.975,67.817,68.043,67.764,0.0021
2/3/2016,67.934,67.977,68.265,67.929,-0.0006
2/4/2016,67.544,67.76,67.895,67.524,-0.0057
2/5/2016,67.81,67.546,67.84,67.495,0.0039
